ProductTitle,Title,Description,UseArea,Usage,Drastic Ingredient,SkinType,Αμπούλες,Booster,Derma,Volume,Vegan,Cruelty-free,Image_URL
Skin1004 Madagascar Centella Tone Brightening Capsule Ampoule Face Essence,"

    Skin1004 Madagascar Centella Tone Brightening Capsule Ampoule Καταπραϋντικό & Ενυδατικό Serum Προσώπου με Centella Asiatica & Νιασιναμίδη για Πανάδες 50ml

  ","Το Skin1004 Madagascar Centella Serum συνδυάζει την εντατική ενυδάτωση με στοχευμένη δράση για σύσφιξη και λάμψη. Εμπλουτισμένο με εκχύλισμα Centella Asiatica από τη Μαδαγασκάρη και προβιοτικά, αυτός ο ορός βοηθά στην καταπράυνση του δέρματος, ενισχύει τον επιδερμικό φραγμό και συμβάλλει στη βελτίωση της ελαστικότητας. Παράλληλα, η προσθήκη Νιασιναμίδης...","
          Περιοχή Χρήσης
          Πρόσωπο
        ","
          Δράση
          Ενυδάτωση, Καταπράυνση, Πανάδες
        ","
          Δραστικό Συστατικό
          Νιασιναμίδη, Centella Asiatica
        ","
          Τύπος Επιδερμίδας
          Ευαίσθητη, Κανονική, Μικτή
        ","
          Αμπούλες
          Όχι
        ","
          Booster
          Όχι","
          Δερμοκαλλυντικό
          Όχι","
          Όγκος
          50 ml
        ","
          Vegan
          Ναι","
          Cruelty-free
          Ναι
        ",https://a.scdn.gr/images/sku_main_images/058116/58116400/xlarge_20241224144556_skin1004_madagascar_centella_tone_enydatiko_serum_prosopou_me_niasinamidi_gia_lampsi_50ml.jpeg
Vichy Liftactiv H.A Epidermic Filler Face Serum 30ml,"

    Vichy Liftactiv H.A Epidermic Filler Ενυδατικό & Αντιγηραντικό Serum Προσώπου με Βιταμίνη C & Υαλουρονικό Οξύ για Lifting 30ml

  ",Ο Liftactiv Hyaluronic Specialist H.A. Epidermic Filler είναι ένας καινοτόμος αντιγηραντικός ορός που στοχεύει σε πρώτες ρυτίδες και λεπτές γραμμές που προκαλούνται από την έλλειψη σφριγηλότητας στο πρόσωπο και στην περιοχή των ματιών.,"
          Περιοχή Χρήσης
          Πρόσωπο
        ","
          Δράση
          Αντιγήρανση, Ενυδάτωση, Lifting
        ","
          Δραστικό Συστατικό
          Υαλουρονικό Οξύ, Βιταμίνη C
        ","
          Αμπούλες
          Όχι
        ","
          Booster
          Όχι
            
  
  
    
  




              
  
    
        Booster
      
        
      
    

      
        
  
    Ορός με συμπυκνωμένη σύνθεση που στοχεύει στην ενίσχυση της λειτουργίας του επιδερμιδικού φραγμού, με ένα βασικό συστατικό σε υψηλή συγκέντρωση.
  

      



        ","
          Δερμοκαλλυντι",,"
          Όγκος
          30 ml
        ","
          Vegan
          Όχι","
          Cruelty-free
          Όχι
        ",https://a.scdn.gr/images/sku_main_images/024825/24825221/xlarge_20260313114951_vichy_liftactiv_h_a_epidermic_filler_enydatiko_antigirantiko_serum_prosopou_me_vitamini_c_yalouroniko_oxy_gia_lifting_30ml.jpeg
Clinea AHA-BHA-PHA Game Changer Anti-imperfections Face Serum 30ml,"

    Clinea AHA-BHA-PHA Game Changer Anti-imperfections Αντιγηραντικό Serum Προσώπου με AHA & Κολλαγόνο για Σύσφιξη & Ατέλειες 30ml

  ","Ένας ανάλαφρος ορός νυκτός που απομακρύνει τα νεκρά κύτταρα, εξυγιαίνει τους πόρους και προσφέρει πιο λεία και καθαρή όψη στην επιδερμίδα.","
          Περιοχή Χρήσης
          Πρόσωπο
        ","
          Δράση
          Αντιγήρανση, Ατέλειες, Σύσφιξη
        ","
          Δραστικό Συστατικό
          Κολλαγόνο, AHA
        ","
          Τύπος Επιδερμίδας
          Όλοι οι Τύποι
        ","
          Αμπούλες
          Όχι
        ","
          Booster
          Όχι","
          Δερμοκαλλυντικό
          Ναι","
          Όγκος
          30 ml
        ","
          Vegan
          Ναι","
          Cruelty-free
          Ναι
        ",https://c.scdn.gr/images/sku_main_images/058537/58537384/xlarge_20250131094322_clinea_aha_bha_pha_game_changer_anti_imperfections_antigirantiko_serum_prosopou_me_kollagono_gia_sysfixi_ateleies_30ml.jpeg
Vichy Liftactiv Supreme Face Serum 20ml,"

    Vichy Liftactiv Supreme Αντιγηραντικό Serum Προσώπου με Βιταμίνη C & Βιταμίνη E για Αποτοξίνωση & Λάμψη 20ml

  ","Αντιοξειδωτικό σύμπλοκο για πιο φωτεινή επιδερμίδα που συνδυάζει 15% Καθαρής Βιταμίνης C, Βιταμίνη E, Πολυφαινόλες Πεύκου και Καθαρό Υαλουρονικό Οξύ που διορθώνει και προλαμβάνει το οξειδωτικό στρες, τη θαμπάδα, και τη γήρανση της επιδερμίδας & Δώρο Νεσεσέρ.","
          Περιοχή Χρήσης
          Πρόσωπο
        ","
          Δράση
          Αντιγήρανση, Λάμψη, Σύσφιξη, Αποτοξίνωση, Λείανση, Lifting
        ","
          Δραστικό Συστατικό
          Υαλουρονικό Οξύ, Βιταμίνη C, Βιταμίνη E
        ","
          Τύπος Επιδερμίδας
          Όλοι οι Τύποι
        ","
          Αμπούλες
          Όχι
        ","
          Booster
          Όχι","
          Δερμοκαλλυντικό
          Ναι","
          Όγκος
          20 ml
        ","
          Vegan
          Όχι","
          Cruelty-free
          Όχι
        ",https://c.scdn.gr/images/sku_main_images/040884/40884695/xlarge_20260313115031_vichy_liftactiv_supreme_antigirantiko_serum_prosopou_me_vitamini_c_vitamini_e_gia_apotoxinosi_lampsi_20ml.jpeg
The Ordinary Hyaluronic Acid 2% + B5 Face Serum,"

    The Ordinary Hyaluronic Acid 2% + B5 Ενυδατικό & Αντιγηραντικό Serum Προσώπου με Υαλουρονικό Οξύ & Βιταμίνη B5 για Σύσφιξη 30ml

  ","Ελαφρύς ορός προσώπου βασισμένος στο νερό και στο υαλουρονικό οξύ, παρέχει ισχυρή ενυδάτωση με βιταμίνη Β5 και πανθενόλη, κατάλληλο για όλους τους τύπους επιδερμίδας.","
          Περιοχή Χρήσης
          Πρόσωπο
        ","
          Δράση
          Αντιγήρανση, Ενυδάτωση, Σύσφιξη
        ","
          Δραστικό Συστατικό
          Υαλουρονικό Οξύ, Βιταμίνη B5
        ","
          Τύπος Επιδερμίδας
          Όλοι οι Τύποι
        ","
          Αμπούλες
          Όχι
        ","
          Booster
          Όχι","
          Δερμοκαλλυντικό
          Όχι","
          Όγκος
          30 ml
        ","
          Vegan
          Ναι","
          Cruelty-free
          Ναι
        ",https://c.scdn.gr/images/sku_main_images/035145/35145128/xlarge_20220401152152_the_ordinary_hyaluronic_acid_2_b5_serum_prosopou_me_yalouroniko_oxy_30ml.jpeg
Mey Vitamin E Drops Face Serum 15ml,"

    Mey Vitamin E Drops Serum Προσώπου με Βιταμίνη E για Αποτοξίνωση & Σύσφιξη 15ml

  ","Συμπυκνωμένες σταγόνες Βιταμίνης Ε με αμυντική, επανορθωτική και προστατευτική δράση. Η Βιταμίνη Ε διαθέτει αντιοξειδωτικές ιδιότητες προάγοντας την καταπολέμηση των ελεύθερων ριζών. Παρέχει αμυντική δράση κατά των φλεγμονωδών διεργασιών.","
          Περιοχή Χρήσης
          Πρόσωπο
        ","
          Δράση
          Αποτοξίνωση, Σύσφιξη
        ","
          Δραστικό Συστατικό
          Βιταμίνη E
        ","
          Τύπος Επιδερμίδας
          Ευαίσθητη
        ","
          Αμπούλες
          Όχι
        ","
          Booster
          Όχι","
          Δερμοκαλλυντικό
          Ναι","
          Όγκος
          15 ml
        ","
          Vegan
          Όχι","
          Cruelty-free
          Όχι
        ",https://d.scdn.gr/images/sku_main_images/062658/62658699/xlarge_20250829122102_mey_vitamin_e_drops_serum_prosopou_me_vitamini_e_gia_apotoxinosi_sysfixi_15ml.jpeg
Maria Peteki Balm Oil Face Serum,"

    Maria Peteki Balm Oil Καταπραϋντικό & Ενυδατικό Serum Προσώπου με Βιταμίνη E & Υαλουρονικό Οξύ για Αποτοξίνωση & Λάμψη

  ","Το βάλσαμο προσώπου είναι ένα premium προϊόν που παρέχει θρέψη, ανάπλαση και αναδόμηση στο πρόσωπο, λαιμό και περιοχή των μαύρων κύκλων. Βασισμένο στο ρυζέλαιο, βοηθάει στην ενυδάτωση της επιδερμίδας και προάγει τη μικροκυκλοφορία.","
          Περιοχή Χρήσης
          Πρόσωπο
        ","
          Δράση
          Αποτοξίνωση, Ενυδάτωση, Θρέψη, Καταπράυνση, Λάμψη, Μαύροι Κύκλοι
        ","
          Δραστικό Συστατικό
          Βιταμίνη E, Κολλαγόνο, Υαλουρονικό Οξύ
        ","
          Τύπος Επιδερμίδας
          Όλοι οι Τύποι
        ","
          Αμπούλες
          Όχι
        ","
          Booster
          Όχι","
          Δερμοκαλλυντικό
          Όχι","
          Τεμάχια
          1 τμχ
        ","
          Vegan
          Ναι","
          Cruelty-free
          Ναι
        ",https://b.scdn.gr/images/sku_main_images/065803/65803509/xlarge_20260303155412_maria_peteki_balm_oil_kataprayntiko_enydatiko_serum_prosopou_me_vitamini_e_yalouroniko_oxy_gia_apotoxinosi_lampsi.jpeg
Medik8 C-Tetra Serum,"

    Medik8 C-Tetra Αντιγηραντικό Serum Προσώπου με Βιταμίνη C & Βιταμίνη E για Αποτοξίνωση & Λάμψη 30ml

  ",,"
          Περιοχή Χρήσης
          Πρόσωπο
        ","
          Δράση
          Αποτοξίνωση, Λάμψη, Αντιγήρανση, Θρέψη
        ","
          Δραστικό Συστατικό
          Βιταμίνη C, Βιταμίνη E
        ","
          Τύπος Επιδερμίδας
          Ευαίσθητη
        ","
          Αμπούλες
          Όχι
        ","
          Booster
          Όχι","
          Δερμοκαλλυντικό
          Όχι","
          Όγκος
          30 ml
        ","
          Vegan
          Όχι","
          Cruelty-free
          Όχι
        ",https://d.scdn.gr/images/sku_main_images/022722/22722996/xlarge_20240115094409_medik8_c_tetra_serum_prosopou_me_vitamini_c_gia_antigiransi_30ml.jpeg
Purito Centella Unscented Face Serum,"

    Purito Centella Unscented Καταπραϋντικό Serum Προσώπου με Centella Asiatica & Νιασιναμίδη για Θρέψη 60ml

  ","Το Purito Centella Unscented Serum περιέχει 40% εκχύλισμα centella asiatica που βοηθάει στην καταπράυνση του ερεθισμένου δέρματος και την αποκατάσταση του κατεστραμμένου φίλτρου προστασίας του. Επιπλέον, η νιασιναμίδη βοηθά αποτελεσματικά στην ανάπλαση του δέρματος και στην ανακούφιση του δέρματος με σημάδια.","
          Περιοχή Χρήσης
          Πρόσωπο
        ","
          Δράση
          Θρέψη, Καταπράυνση
        ","
          Δραστικό Συστατικό
          Νιασιναμίδη, Πεπτίδια, Centella Asiatica
        ","
          Τύπος Επιδερμίδας
          Ευαίσθητη
        ","
          Αμπούλες
          Όχι
        ","
          Booster
          Όχι","
          Δερμοκαλλυντικό
          Όχι","
          Όγκος
          60 ml
        ","
          Vegan
          Ναι","
          Cruelty-free
          Ναι
        ",https://b.scdn.gr/images/sku_main_images/028113/28113170/xlarge_20250520160602_purito_centella_antigirantiko_serum_prosopou_me_niasinamidi_peptidia_60ml.jpeg
I'm From Rice Face Serum 30ml,"

    I'm From Rice Serum Προσώπου με Centella Asiatica & Νιασιναμίδη για Λάμψη 30ml

  ","I’m from Rice Serum είναι ένας ενυδατικός ορός προσώπου που προσφέρει θρέψη και λάμψη. Περιέχει 73% εκχύλισμα ζύμωσης φύτρων ρυζιού, το οποίο διατηρεί περισσότερα από 65% της θρεπτικής αξίας σε έναν μόνο κόκκο ρυζιού.","
          Περιοχή Χρήσης
          Πρόσωπο
        ","
          Δράση
          Λάμψη
        ","
          Δραστικό Συστατικό
          Υαλουρονικό Οξύ, Νιασιναμίδη, Centella Asiatica
        ","
          Τύπος Επιδερμίδας
          Μικτή, Λιπαρή, Ξηρή, Ευαίσθητη
        ","
          Αμπούλες
          Όχι
        ","
          Booster
          Όχι","
          Δερμοκαλλυντικό
          Όχι","
          Όγκος
          30 ml
        ","
          Vegan
          Ναι","
          Cruelty-free
          Ναι
        ",https://a.scdn.gr/images/sku_main_images/040626/40626432/xlarge_20230209161831_i_m_from_rice_enydatiko_serum_prosopou_me_yalouroniko_oxy_30ml.jpeg
I'm From Mugwort Essence Mini Face Essence 30ml,"

    I'm From Mugwort Essence Mini Καταπραϋντικό Essence Προσώπου για Αποτοξίνωση & Ακμή 30ml

  ","Το I'm From Mugwort Essence είναι διαμορφωμένο με 100% εκχύλισμα mugwort που καλλιεργείται στη Νότια Κορέα. Αυτή η αναζωογονητική φόρμουλα προσκολλάται και απορροφάται από το δέρμα, με αποτέλεσμα να το καταπραΰνει και να επαναφορτίζει την υγρασία από το εσωτερικό.","
          Περιοχή Χρήσης
          Πρόσωπο
        ","
          Δράση
          Ακμή, Αποτοξίνωση, Καταπράυνση
        ","
          Τύπος Επιδερμίδας
          Όλοι οι Τύποι
        ","
          Αμπούλες
          Όχι
        ","
          Booster
          Όχι
            
  
  
    
  




              
  
    
        Booster
      
        
      
    

      
        
  
    Ορός με συμπυκνωμένη σύνθεση που στοχεύει στην ενίσχυση της λειτουργίας του επιδερμιδικού φραγμού, με ένα βασικό συστατικό σε υψηλή συγκέντρωση.
  

      



        ","
          Δερμοκαλλυντι",,"
          Όγκος
          30 ml
        ","
          Vegan
          Ναι","
          Cruelty-free
          Όχι
        ",https://b.scdn.gr/images/sku_main_images/034969/34969046/xlarge_20220328111329_essence_i_m_from_mugwort_essence_mini_30ml.jpeg
Sungboon Editor Silk Face Serum 35ml,"

    Sungboon Editor Silk Serum Προσώπου με Πεπτίδια για Lifting 35ml

  ",Silk Peptide Intensive Lifting Ampoule - Αμπούλα με 3-πλό σύστημα lifting,"
          Περιοχή Χρήσης
          Πρόσωπο
        ","
          Δράση
          Lifting
        ","
          Δραστικό Συστατικό
          Πεπτίδια
        ","
          Τύπος Επιδερμίδας
          Όλοι οι Τύποι, Ευαίσθητη
        ","
          Αμπούλες
          Ναι
        ","
          Booster
          Όχι","
          Δερμοκαλλυντικό
          Όχι","
          Όγκος
          35 ml
        ","
          Vegan
          Όχι","
          Cruelty-free
          Όχι
        ",https://a.scdn.gr/images/sku_main_images/061621/61621513/xlarge_20250711122859_sungboon_editor_silk_serum_prosopou_me_peptidia_gia_lifting_35ml.jpeg
Purito Centella Green Level Buffer Face Serum 60ml,"

    Purito Centella Green Level Buffer Αντιγηραντικό Serum Προσώπου με Centella Asiatica & Νιασιναμίδη 60ml

  ","Ορός λάμψης προσώπου με αντιγηραντική δράση της Purito, ενισχύει την αποκατάσταση του δερματικού φραγμού και μειώνει τη φλεγμονή. ","
          Περιοχή Χρήσης
          Πρόσωπο
        ","
          Δράση
          Αντιγήρανση
        ","
          Δραστικό Συστατικό
          Νιασιναμίδη, Πεπτίδια, Centella Asiatica
        ","
          Τύπος Επιδερμίδας
          Ευαίσθητη, Μικτή, Λιπαρή, Ξηρή
        ","
          Αμπούλες
          Όχι
        ","
          Booster
          Όχι","
          Δερμοκαλλυντικό
          Όχι","
          Όγκος
          60 ml
        ","
          Vegan
          Ναι","
          Cruelty-free
          Ναι
        ",https://a.scdn.gr/images/sku_main_images/030632/30632642/xlarge_20250620101957_purito_centella_green_level_buffer_antigirantiko_serum_prosopou_me_niasinamidi_peptidia_60ml.jpeg
Lierac Lift Integral Face Serum 30ml,"

    Lierac Lift Integral Ενυδατικό & Αντιγηραντικό Serum Προσώπου με Υαλουρονικό Οξύ για Lifting & Σύσφιξη 30ml

  ","Ο ορός Lift Integral ενισχύει τη δομή του δέρματος δρώντας στα κύρια στοιχεία του (κολλαγόνο, ελαστίνη, υαλουρονικό οξύ), αλλά και στις γλυκοπρωτεΐνες που τα συνδέουν. Η επιδερμίδα ανακτά τη σφριγηλότητα, την ελαστικότητα και τη δομή της, για ένα ολοκληρωμένο αποτέλεσμα lifting.","
          Περιοχή Χρήσης
          Πρόσωπο
        ","
          Δράση
          Αντιγήρανση, Σύσφιξη, Ενυδάτωση, Λείανση, Lifting
        ","
          Δραστικό Συστατικό
          Υαλουρονικό Οξύ
        ","
          Τύπος Επιδερμίδας
          Όλοι οι Τύποι
        ","
          Αμπούλες
          Όχι
        ","
          Booster
          Όχι","
          Δερμοκαλλυντικό
          Ναι","
          Όγκος
          30 ml
        ","
          Vegan
          Ναι","
          Cruelty-free
          Όχι
        ",https://d.scdn.gr/images/sku_main_images/038700/38700193/xlarge_20230928143442_lierac_lift_integral_serum_prosopou_gia_sysfixi_30ml.jpeg
Apivita Beevine Elixir Face Serum 30ml,"

    Apivita Beevine Elixir Ενυδατικό & Αντιγηραντικό Serum Προσώπου με Νιασιναμίδη & Κολλαγόνο για Λάμψη & Lifting 30ml

  ","Λεπτόρρευστο συμπυκνωμένο ελιξίριο για άμεσα πιο σφριγηλή, απαλή και ορατά πιο λαμπερή επιδερμίδα.","
          Περιοχή Χρήσης
          Πρόσωπο
        ","
          Δράση
          Αντιγήρανση, Σύσφιξη, Ενυδάτωση, Λάμψη, Lifting
        ","
          Δραστικό Συστατικό
          Κολλαγόνο, Νιασιναμίδη
        ","
          Αμπούλες
          Όχι
        ","
          Booster
          Όχι
            
  
  
    
  




              
  
    
        Booster
      
        
      
    

      
        
  
    Ορός με συμπυκνωμένη σύνθεση που στοχεύει στην ενίσχυση της λειτουργίας του επιδερμιδικού φραγμού, με ένα βασικό συστατικό σε υψηλή συγκέντρωση.
  

      



        ","
          Δερμοκαλλυντι",,"
          Όγκος
          30 ml
        ","
          Vegan
          Όχι","
          Cruelty-free
          Όχι
        ",https://b.scdn.gr/images/sku_main_images/045720/45720064/xlarge_20230911135116_apivita_elixir_serum_prosopou_gia_sysfixi_30ml.jpeg
Medi Peel Retinol Collagen Face Serum 50ml,"

    Medi Peel Retinol Collagen Αντιγηραντικό Serum Προσώπου με Ρετινόλη & Κολλαγόνο για Lifting & Σύσφιξη 50ml

  ","Αντιγηραντικό πρόσωπο serum σε μορφή αμπούλας της MediPeel με ρετινόλη και κολλαγόνο, σχεδιασμένο για να βελτιώνει την υφή, τη σφριγηλότητα και την ελαστικότητα της επιδερμίδας, ενώ παράλληλα μειώνει ορατά λεπτές γραμμές και ρυτίδες και ενισχύει τη νεανική λάμψη.","
          Περιοχή Χρήσης
          Πρόσωπο
        ","
          Δράση
          Αντιγήρανση, Σύσφιξη, Lifting
        ","
          Δραστικό Συστατικό
          Ρετινόλη, Κολλαγόνο
        ","
          Τύπος Επιδερμίδας
          Κανονική, Λιπαρή, Ξηρή, Ευαίσθητη
        ","
          Αμπούλες
          Όχι
        ","
          Booster
          Όχι","
          Δερμοκαλλυντικό
          Όχι","
          Όγκος
          50 ml
        ","
          Vegan
          Ναι","
          Cruelty-free
          Όχι
        ",https://d.scdn.gr/images/sku_main_images/050847/50847962/xlarge_20240228153710_medi_peel_serum_prosopou_me_retinoli_gia_sysfixi_50ml.jpeg
Eau Thermale Avène Dermabsolu Concentrated Face Serum 30ml,"

    Eau Thermale Avène Dermabsolu Concentrated Ενυδατικό & Αντιγηραντικό Serum Προσώπου με Bakuchiol & Υαλουρονικό Οξύ για Λάμψη & Σύσφιξη 30ml

  ",Avene Dermabsolu Συμπυκνωμένος Ορός Αναδόμησης,"
          Περιοχή Χρήσης
          Πρόσωπο
        ","
          Δράση
          Αντιγήρανση, Θρέψη, Αναζωογόνηση, Λάμψη, Ενυδάτωση, Σύσφιξη
        ","
          Δραστικό Συστατικό
          Υαλουρονικό Οξύ, Bakuchiol
        ","
          Αμπούλες
          Όχι
        ","
          Booster
          Όχι
            
  
  
    
  




              
  
    
        Booster
      
        
      
    

      
        
  
    Ορός με συμπυκνωμένη σύνθεση που στοχεύει στην ενίσχυση της λειτουργίας του επιδερμιδικού φραγμού, με ένα βασικό συστατικό σε υψηλή συγκέντρωση.
  

      



        ","
          Δερμοκαλλυντι",,"
          Όγκος
          30 ml
        ","
          Vegan
          Ναι","
          Cruelty-free
          Όχι
        ",https://c.scdn.gr/images/sku_main_images/056496/56496869/xlarge_20240927094511_avene_dermabsolu_concentrated_serum_prosopou_gia_sysfixi_30ml.jpeg
Axis-y Vegan Collagen Eye Serum 10ml,"

    Axis-y Vegan Collagen Eye Serum 10ml

  ",Axis-Y Ορός Ματιών Κολλαγόνου Vegan 10ml,"
          Περιοχή Χρήσης
          Μάτια
        ","
          Δράση
          Αντιγήρανση
        ","
          Δραστικό Συστατικό
          Κολλαγόνο, Νιασιναμίδη, Υαλουρονικό Οξύ, Πεπτίδια, Centella Asiatica
        ","
          Τύπος Επιδερμίδας
          Μικτή, Ξηρή, Λιπαρή
        ","
          Αμπούλες
          Όχι
        ","
          Booster
          Όχι","
          Δερμοκαλλυντικό
          Όχι","
          Όγκος
          10 ml
        ","
          Vegan
          Ναι","
          Cruelty-free
          Όχι
        ",https://d.scdn.gr/images/sku_main_images/055720/55720089/xlarge_20240903112004_axis_y_vegan_collagen_eye_serum_10ml.jpeg
Medicube Zero Pore 2.0 Face Serum 37ml,"

    Medicube Zero Pore 2.0 Ενυδατικό Serum Προσώπου για Σύσφιξη 37ml

  ","Ο ορός προσώπου Medicube Zero Pore 2.0 είναι ιδανικός για την καθημερινή φροντίδα της επιδερμίδας σου, ειδικά αν έχεις λιπαρή επιδερμίδα. Λειτουργεί αποτελεσματικά μετά τον καθαρισμό του προσώπου και προετοιμάζει το δέρμα για την εφαρμογή της κρέμας. Με τη μοναδική του σύνθεση, προσφέρει σε βάθος ενυδάτωση, συσφίγγιση και λείανση της επιδερμίδας.","
          Περιοχή Χρήσης
          Πρόσωπο
        ","
          Δράση
          Ενυδάτωση, Λείανση, Σύσφιξη
        ","
          Τύπος Επιδερμίδας
          Λιπαρή
        ","
          Αμπούλες
          Όχι
        ","
          Booster
          Όχι
            
  
  
    
  




              
  
    
        Booster
      
        
      
    

      
        
  
    Ορός με συμπυκνωμένη σύνθεση που στοχεύει στην ενίσχυση της λειτουργίας του επιδερμιδικού φραγμού, με ένα βασικό συστατικό σε υψηλή συγκέντρωση.
  

      



        ","
          Δερμοκαλλυντι",,"
          Όγκος
          37 ml
        ","
          Vegan
          Όχι","
          Cruelty-free
          Ναι
        ",https://d.scdn.gr/images/sku_main_images/061681/61681156/xlarge_20250715133958_medicube_zero_pore_2_0_enydatiko_serum_prosopou_gia_sysfixi_37ml.jpeg
Medicube One Day Exosome 2000ppm Face Serum 30ml,"

    Medicube One Day Exosome 2000ppm Αντιγηραντικό Serum Προσώπου με Νιασιναμίδη & AHA 30ml

  ","Ζήστε την απόλυτη μεσοθεραπεία της επιδερμίδας με το Medicube One Day Exosome Shot Pore Ampoule 2000! Βασιζόμενοι στις αρχές του microneedling, η Medicube δημιούργησε ένα booster σε μικροσκοπικό μέγεθος, σε σχήμα βελόνας, ώστε να στοχεύσει σε μια σειρά αναγκών της επιδερμίδας.","
          Περιοχή Χρήσης
          Πρόσωπο
        ","
          Δράση
          Αντιγήρανση
        ","
          Δραστικό Συστατικό
          Νιασιναμίδη, AHA, Εξωσώματα
        ","
          Τύπος Επιδερμίδας
          Ευαίσθητη
        ","
          Αμπούλες
          Όχι
        ","
          Booster
          Όχι","
          Δερμοκαλλυντικό
          Όχι","
          Όγκος
          30 ml
        ","
          Vegan
          Όχι","
          Cruelty-free
          Ναι
        ",https://d.scdn.gr/images/sku_main_images/056742/56742674/xlarge_20241009102823_medicube_one_day_exosome_2000ppm_antigirantiko_serum_prosopou_30ml.jpeg
Celimax The Real Noni Face Serum 30ml,"

    Celimax The Real Noni Καταπραϋντικό & Ενυδατικό Serum Προσώπου για Λάμψη 30ml

  ","Μια θρεπτική αμπούλα με βάση το εκχύλισμα φρούτων ινδικής μουριάς, πλούσια σε μέταλλα, βιταμίνες, πρωτεΐνες και ένζυμα.","
          Περιοχή Χρήσης
          Πρόσωπο
        ","
          Δράση
          Ενυδάτωση, Καταπράυνση, Λάμψη
        ","
          Τύπος Επιδερμίδας
          Όλοι οι Τύποι, Ακνεϊκή, Ευαίσθητη
        ","
          Αμπούλες
          Όχι
        ","
          Booster
          Όχι
            
  
  
    
  




              
  
    
        Booster
      
        
      
    

      
        
  
    Ορός με συμπυκνωμένη σύνθεση που στοχεύει στην ενίσχυση της λειτουργίας του επιδερμιδικού φραγμού, με ένα βασικό συστατικό σε υψηλή συγκέντρωση.
  

      



        ","
          Δερμοκαλλυντι",,"
          Όγκος
          30 ml
        ","
          Vegan
          Όχι","
          Cruelty-free
          Όχι
        ",https://c.scdn.gr/images/sku_main_images/058594/58594572/xlarge_20250204104316_celimax_the_real_noni_kataprayntiko_enydatiko_serum_prosopou_gia_lampsi_30ml.jpeg
Evdermia Silken Face Serum 50ml,"

    Evdermia Silken Ενυδατικό & Αντιγηραντικό Serum Προσώπου με Πεπτίδια & Υαλουρονικό Οξύ για Αποτοξίνωση & Σύσφιξη 50ml

  ","Καινοτόμο, αντιγηραντικό serum για το πρόσωπο, το λαιμό και το ντεκολτέ, με μοντέρνα ενεργά συστατικά.","
          Περιοχή Χρήσης
          Πρόσωπο
        ","
          Δράση
          Αντιγήρανση, Σύσφιξη, Ενυδάτωση, Θρέψη, Αναζωογόνηση, Λείανση, Αποτοξίνωση
        ","
          Δραστικό Συστατικό
          Υαλουρονικό Οξύ, Πεπτίδια
        ","
          Αμπούλες
          Όχι
        ","
          Booster
          Όχι
            
  
  
    
  




              
  
    
        Booster
      
        
      
    

      
        
  
    Ορός με συμπυκνωμένη σύνθεση που στοχεύει στην ενίσχυση της λειτουργίας του επιδερμιδικού φραγμού, με ένα βασικό συστατικό σε υψηλή συγκέντρωση.
  

      



        ","
          Δερμοκαλλυντι",,"
          Όγκος
          50 ml
        ","
          Vegan
          Όχι","
          Cruelty-free
          Όχι
        ",https://b.scdn.gr/images/sku_main_images/005723/5723958/xlarge_20230127120957_evdermia_silken_antigirantiko_serum_prosopou_me_kollagono_50ml.jpeg
Nuxe Nuxuriance Gold Face Serum 30ml,"

    Nuxe Nuxuriance Gold Αντιγηραντικό Serum Προσώπου για Λάμψη & Αναζωογόνηση 30ml

  ",,"
          Περιοχή Χρήσης
          Πρόσωπο
        ","
          Δράση
          Αντιγήρανση, Λάμψη, Θρέψη, Αναζωογόνηση, Ενδυνάμωση
        ","
          Τύπος Επιδερμίδας
          Ξηρή
        ","
          Αμπούλες
          Όχι
        ","
          Booster
          Όχι
            
  
  
    
  




              
  
    
        Booster
      
        
      
    

      
        
  
    Ορός με συμπυκνωμένη σύνθεση που στοχεύει στην ενίσχυση της λειτουργίας του επιδερμιδικού φραγμού, με ένα βασικό συστατικό σε υψηλή συγκέντρωση.
  

      



        ","
          Δερμοκαλλυντι",,"
          Όγκος
          30 ml
        ","
          Vegan
          Όχι","
          Cruelty-free
          Όχι
        ",https://b.scdn.gr/images/sku_main_images/019731/19731738/xlarge_20230509141316_nuxe_nuxuriance_gold_antigirantiko_serum_prosopou_30ml.jpeg
Medicube One Day Exosome Shot Face Serum 30ml,"

    Medicube One Day Exosome Shot Ενυδατικό Serum Προσώπου με AHA για Σύσφιξη 30ml

  ","One Day Exosome Shot 7500, 30ml.","
          Περιοχή Χρήσης
          Πρόσωπο
        ","
          Δράση
          Ενυδάτωση, Σύσφιξη
        ","
          Δραστικό Συστατικό
          AHA
        ","
          Τύπος Επιδερμίδας
          Μικτή, Λιπαρή
        ","
          Αμπούλες
          Όχι
        ","
          Booster
          Όχι","
          Δερμοκαλλυντικό
          Όχι","
          Όγκος
          30 ml
        ","
          Vegan
          Όχι","
          Cruelty-free
          Όχι
        ",https://b.scdn.gr/images/sku_main_images/057697/57697385/xlarge_20241129094155_medicube_one_day_exosome_shot_enydatiko_serum_prosopou_30ml.jpeg
